time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T00:09:15.550Z,37.5178333,-118.8555,3.69,0.74,md,6,306,0.1012,0.03,nc,nc72895446,2017-09-20T03:16:04.637Z,"17km SE of Mammoth Lakes, California",earthquake,1.89,4.1,0.244,5,reviewed,nc,nc
2017-09-20T00:08:15.800Z,30.7358,57.4049,10,5,mb,,68,5.471,0.67,us,us2000ardv,2017-09-20T00:28:38.040Z,"59km NNE of Kerman, Iran",earthquake,7,1.9,0.051,121,reviewed,us,us
2017-09-20T00:00:00.170Z,33.4981667,-116.7936667,4.43,0.74,ml,25,36,0.08193,0.09,ci,ci38006656,2017-09-20T00:10:22.900Z,"9km NE of Aguanga, CA",earthquake,0.14,0.29,0.096,18,reviewed,ci,ci
2017-09-19T23:48:15.140Z,33.4986667,-116.7923333,4.61,0.41,ml,18,96,0.08089,0.1,ci,ci38006648,2017-09-20T00:06:54.515Z,"9km NE of Aguanga, CA",earthquake,0.21,0.31,0.13,14,reviewed,ci,ci
2017-09-19T23:28:39.240Z,47.3728333,-122.5195,-0.39,0.67,md,5,194,0.2524,0.61,uw,uw61331481,2017-09-20T04:03:06.360Z,"4km SE of Maplewood, Washington",explosion,23.82,31.61,0.064,4,reviewed,uw,uw
2017-09-19T23:26:52.760Z,42.583,-111.4268,9.45,3,ml,,54,0.018,0.22,us,us2000arcp,2017-09-20T05:22:09.471Z,"16km ESE of Soda Springs, Idaho",earthquake,1.3,3,0.046,62,reviewed,us,us
2017-09-19T23:25:58.870Z,46.6501667,-120.758,-0.81,1.8,ml,14,96,0.09479,0.3,uw,uw61331476,2017-09-20T03:59:56.590Z,"5km S of Tieton, Washington",explosion,0.8,31.61,0.269,11,reviewed,uw,uw
2017-09-19T23:22:56.240Z,6.3346,123.8962,35.94,4.6,mb,,70,1.824,0.92,us,us2000arcv,2017-09-20T00:22:39.040Z,"20km SW of Sangay, Philippines",earthquake,4.4,8.6,0.081,45,reviewed,us,us
2017-09-19T23:11:34.420Z,16.2179,-94.8374,64.79,4.6,mb,,169,2.594,0.84,us,us2000arch,2017-09-20T02:35:58.548Z,"15km SW of San Dionisio del Mar, Mexico",earthquake,9.7,6.7,0.059,85,reviewed,us,us
2017-09-19T23:10:49.380Z,46.9826667,-122.2093333,0.55,1.39,ml,11,132,0.007804,0.05,uw,uw61331461,2017-09-19T23:28:22.020Z,"10km SE of Graham, Washington",earthquake,0.71,0.4,0.114,11,reviewed,uw,uw
2017-09-19T23:07:18.226Z,64.9699,-147.2371,0,1.2,ml,,,,0.74,ak,ak16861101,2017-09-20T01:15:27.635Z,"23km NE of Badger, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-19T23:05:05.600Z,-36.3279,179.4495,70.28,4.7,mb,,183,1.535,0.74,us,us2000arca,2017-09-19T23:36:31.040Z,"273km NE of Opotiki, New Zealand",earthquake,10.1,8,0.117,22,reviewed,us,us
2017-09-19T22:59:17.480Z,37.7025,-118.8185,2.14,0.64,md,8,309,0.09052,0.05,nc,nc72895436,2017-09-20T00:06:02.368Z,"14km ENE of Mammoth Lakes, California",earthquake,2.29,6.37,0.147,6,reviewed,nc,nc
2017-09-19T22:55:46.510Z,33.4906667,-116.4768333,15.11,0.7,ml,17,140,0.05377,0.15,ci,ci38006624,2017-09-19T23:30:47.051Z,"20km ESE of Anza, CA",earthquake,0.47,0.62,0.165,13,reviewed,ci,ci
2017-09-19T22:55:18.150Z,33.4946667,-116.4831667,14.95,0.84,ml,14,200,0.05592,0.1,ci,ci37165468,2017-09-19T23:36:48.681Z,"19km ESE of Anza, CA",earthquake,0.36,0.54,0.123,16,reviewed,ci,ci
2017-09-19T22:48:38.940Z,33.5116667,-116.7935,5.34,0.43,ml,17,72,0.07124,0.09,ci,ci38006616,2017-09-19T23:04:50.970Z,"10km NE of Aguanga, CA",earthquake,0.22,0.77,0.112,9,reviewed,ci,ci
2017-09-19T22:21:39.230Z,36.4396,-98.7506,1.92,3.2,mb_lg,,88,0.039,0.41,us,us2000aray,2017-09-19T22:36:25.040Z,"30km NW of Fairview, Oklahoma",earthquake,1.5,7.3,0.054,91,reviewed,us,us
